Station_Code,Well_Name,LATITUDE,LONGITUDE,Elevation,COUNTY_NAME,BASIN_CODE,BASIN_NAME,Well_Depth,WELL_USE,WELL_TYPE
24N03W29Q002M,Screen: 490-550 ft,39.903046,-122.224557,314.18,Tehama,5-021.51,Corning,575.0,Observation,Part of a nested/multi-completion well
24N03W29Q003M,Screen: 650-790 ft,39.903046,-122.224557,314.18,Tehama,5-021.51,Corning,844.0,Observation,Part of a nested/multi-completion well
24N04W07F003M,TSS Red Bluff-D,39.95219001,-122.361879,460.1,Tehama,5-021.50,Red Bluff,930.0,Observation,Part of a nested/multi-completion well
24N04W07F004M,TSS Red Bluff-ID,39.95219,-122.361879,460.06,Tehama,5-021.50,Red Bluff,660.0,Observation,Part of a nested/multi-completion well
24N04W07F005M,TSS Red Bluff-IS,39.95219,-122.361879,459.96,Tehama,5-021.50,Red Bluff,310.0,Observation,Part of a nested/multi-completion well
24N04W07F006M,TSS Red Bluff-S,39.95219,-122.361879,459.85,Tehama,5-021.50,Red Bluff,170.0,Observation,Part of a nested/multi-completion well
24N17E13J001M,LAS_13J001M,39.9286,-120.0197,4432.52,Lassen,6-104,Long Valley,148.0,Observation,Part of a nested/multi-completion well
24N17E13J002M,LAS_13J002M,39.9286,-120.0197,4432.22,Lassen,6-104,Long Valley,51.0,Observation,Part of a nested/multi-completion well
25N01W32P001M,Screen: 209-256 ft,39.973278,-122.006864,303.41,Tehama,5-021.56,Los Molinos,330.0,Observation,Part of a nested/multi-completion well
25N01W32P002M,Screen: 440-510 ft,39.973278,-122.006864,303.41,Tehama,5-021.56,Los Molinos,530.0,Observation,Part of a nested/multi-completion well
25N01W32P003M,Screen: 650-660 ft,39.973278,-122.006864,303.41,Tehama,5-021.56,Los Molinos,720.0,Observation,Part of a nested/multi-completion well
25N01W34N002M,Screen: 207-217 ft,39.973967,-121.97482,366.43,Tehama,5-021.56,Los Molinos,263.0,Observation,Part of a nested/multi-completion well
25N01W34N003M,Screen: 625-680 ft,39.973967,-121.97482,366.43,Tehama,5-021.56,Los Molinos,743.0,Observation,Part of a nested/multi-completion well
25N03W11B001M,Screen: 150-180 ft,40.042815,-122.166514,252.1,Tehama,5-021.50,Red Bluff,255.0,Observation,Part of a nested/multi-completion well
25N03W11B002M,Screen: 680-750 ft,40.042815,-122.166514,252.03,Tehama,5-021.50,Red Bluff,789.0,Observation,Part of a nested/multi-completion well
25N03W11B003M,Screen: 940-960 ft,40.042815,-122.166514,252.05,Tehama,5-021.50,Red Bluff,1000.0,Observation,Part of a nested/multi-completion well
